 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.5
 303 39845 0 -0.0016203167717476078 1.0219187962411667 0 0
 304 39837 0 -0.0016386585850847657 1.0220144549243009 0 0
 305 39827 0 -0.0016414703191839955 1.0221104692380605 0 0
 306 39806 0 -0.001595922675906086 1.0222604340740928 0 0
 307 39795 0 -0.0015835785968096275 1.0223458604096036 0 0
 308 39793 0 -0.0015502407943382703 1.022477021837731 0 0
 309 39782 0 -0.001549365354007352 1.022579457474364 0 0
 310 39770 0 -0.0015561443674431139 1.022737065653489 0 0
 311 39754 0 -0.0015005621610009923 1.0228844110496125 0 0
 312 39750 0 -0.0015043128581578896 1.0230163911113177 0 0
 313 39746 0 -0.0015262717831302699 1.023177302731631 0 0
 314 39738 0 -0.0015475563099979104 1.0233328119087657 0 0
 315 39729 0 -0.0015625791799528724 1.023426023199245 0 0
 316 39720 0 -0.0015880378747646856 1.0235263058177084 0 0
 317 39702 0 -0.001570234413127295 1.0236861984212071 0 0
 318 39686 0 -0.0016036812519373788 1.0238725909619792 0 0
 319 39680 0 -0.0016090551412559048 1.0239256801407886 0 0
 320 39668 0 -0.0016268340368434512 1.024056566154287 0 0
 321 39665 0 -0.0015965029169875164 1.024161707881847 0 0
 322 39664 0 -0.0016046166658714744 1.0242959914633518 0 0
 323 39656 0 -0.001624968466371181 1.0243854346993777 0 0
 324 39645 0 -0.0016186530588422079 1.024490450828759 0 0
 325 39631 0 -0.0016317058727182458 1.0246430733147625 0 0
 326 39610 0 -0.0016312421050099638 1.0248532358278462 0 0
 327 39598 0 -0.0016464827394731113 1.0249635426410253 0 0
 328 39584 0 -0.001697960947074628 1.0250736918889625 0 0
 329 39563 0 -0.0017326119476985887 1.0252209946110773 0 0
 330 39556 0 -0.0017184157951620682 1.0253519408491958 0 0
 331 39543 0 -0.0017534015419945787 1.0254860437496243 0 0
 332 39547 0 -0.0017727715084936422 1.025618778392763 0 0
 333 39537 0 -0.0017932038850013109 1.0257091062797057 0 0
